command,mean,stddev,median,user,system,min,max
BENCH_PHASES=1 /home/sooraj/stencil_compiler/build/stencilc --mode=jit /home/sooraj/stencil_compiler/test/bench/small.toy,0.0092281858,0.002774082329072393,0.00872406692,0.0037730576000000004,0.0023859416,0.00498332642,0.014969682419999998
/home/sooraj/stencil_compiler/build/stencilc --mode=interp /home/sooraj/stencil_compiler/test/bench/small.toy,0.008164512240000003,0.002727809627077513,0.00723704642,0.0042936776,0.000916908,0.00484666542,0.014347035420000001
bench/results/small-native-gcc,0.0010635644999999997,0.0003175170458523602,0.0010269189199999997,0.0010863776,0.0001537936,0.0005682774199999999,0.0019423094199999998
bench/results/small-native-gcc-O0,0.0011463427799999998,0.0005063454328922573,0.0009725644199999998,0.0009922664,0.000257872,0.0006846624199999996,0.00389197642
bench/results/small-native-clang,0.0010933433399999998,0.00034633465847797376,0.0010399859199999998,0.0010072976,0.00018773279999999997,0.0006110814199999999,0.0023247354199999997
bench/results/small-native-clang-O0,0.0010752674399999997,0.0003903434744835599,0.0009775834199999998,0.0009894644,0.00019591199999999996,0.0005313864199999996,0.00236836442
bench/results/small-native-tcc,0.0008617411399999997,0.000269850076308221,0.0008345374199999996,0.0009356331999999999,0.00016385359999999998,0.0004486364199999997,0.0017111504199999999
