command,mean,stddev,median,user,system,min,max
BENCH_PHASES=1 /home/sooraj/stencil_compiler/build/stencilc --mode=jit /home/sooraj/stencil_compiler/test/bench/medium.toy,0.036030151979999994,0.007759024836466473,0.036380823699999995,0.026082899999999992,0.0062597352,0.0257047497,0.0604815867
/home/sooraj/stencil_compiler/build/stencilc --mode=interp /home/sooraj/stencil_compiler/test/bench/medium.toy,0.021245911880000003,0.0021600257902306963,0.0206595402,0.01577696,0.0033007911999999996,0.0186147187,0.030557082700000005
bench/results/medium-native-gcc,0.00101968376,0.0003346878517394008,0.0009986301999999998,0.0009329268000000002,0.00022150799999999998,0.0004553576999999998,0.0021977367
bench/results/medium-native-gcc-O0,0.0009555642999999999,0.00045550046964347755,0.0008199702,0.0008589667999999998,0.00021981039999999997,0.00040631469999999987,0.0025305807000000004
bench/results/medium-native-clang,0.0009744719199999999,0.0002971005843612695,0.0009056181999999998,0.0008596092000000001,0.0002826368,0.0005754766999999999,0.0017854547
bench/results/medium-native-clang-O0,0.00144854934,0.0005238537826281946,0.0013435422,0.0011427135999999998,0.0003135056,0.0006671387000000001,0.0036056697
bench/results/medium-native-tcc,0.00101370576,0.00036401041737758617,0.0009594052,0.000920278,0.00025833679999999996,0.0005054136999999999,0.0020910817
