command,mean,stddev,median,user,system,min,max
BENCH_PHASES=1 /home/sooraj/stencil_compiler/build/stencilc --mode=jit /home/sooraj/stencil_compiler/test/bench/tiny.toy,0.005132371160000001,0.000948949637311908,0.00496939358,0.002359370000000001,0.0012276328,0.00360520008,0.00826948508
/home/sooraj/stencil_compiler/build/stencilc --mode=interp /home/sooraj/stencil_compiler/test/bench/tiny.toy,0.004426148899999999,0.0006851220344667845,0.00443092608,0.0023362279999999997,0.0007594923999999999,0.0031623870799999997,0.005968970079999999
bench/results/tiny-native-gcc,0.0018511562399999998,0.00047705269179283574,0.0017068295799999994,0.0014761540000000001,0.0004436208,0.0010756420799999994,0.00344670208
bench/results/tiny-native-gcc-O0,0.0023149635799999996,0.0005577613871966404,0.0022031075799999996,0.0014407019999999999,0.0007706695999999999,0.0014177250799999994,0.0039016860799999994
bench/results/tiny-native-clang,0.00214143874,0.00046829091040312567,0.0020501930799999997,0.0017762759999999996,0.00035564360000000004,0.0014385320799999996,0.0036764330799999995
bench/results/tiny-native-clang-O0,0.0024039410999999998,0.00047970273956978273,0.0023305355799999997,0.0016585279999999996,0.0005229151999999998,0.0015269940799999993,0.0036080610799999998
bench/results/tiny-native-tcc,0.0015761194999999997,0.0005195662590508016,0.0014554630799999994,0.0013824360000000001,0.0002476436,0.0009495810799999996,0.0035541270799999995
