command,mean,stddev,median,user,system,min,max
BENCH_PHASES=1 /home/sooraj/stencil_compiler/build/stencilc --mode=jit /home/sooraj/stencil_compiler/test/bench/large.toy,0.28620501921999997,0.047143257560641756,0.27299512866,0.2574816,0.025745167200000002,0.22709159316000002,0.46963409116000004
/home/sooraj/stencil_compiler/build/stencilc --mode=interp /home/sooraj/stencil_compiler/test/bench/large.toy,0.22744873674000002,0.026728883006773358,0.22183570816000003,0.20280762,0.024955154400000002,0.19428752016,0.32425681316000005
bench/results/large-native-gcc,0.0013131047799999995,0.00040828013642550405,0.0011997386599999999,0.0012495896000000002,0.00024398039999999995,0.0007130441599999997,0.0028653251599999995
bench/results/large-native-gcc-O0,0.0017287328799999995,0.0004553028406561873,0.00166129266,0.0014333496000000004,0.00038553320000000004,0.0010014521599999997,0.00294017816
bench/results/large-native-clang,0.0027680255599999994,0.0010872241818236392,0.00276254266,0.0017398392,0.0006477952000000001,0.0010141931599999998,0.00593001316
bench/results/large-native-clang-O0,0.005723168179999998,0.0035740640423670535,0.0048183316599999994,0.0021207335999999994,0.0019060791999999998,0.0037293531599999997,0.02340150916
bench/results/large-native-tcc,0.00381102272,0.0009684754982417778,0.0037879961600000003,0.0019138663999999997,0.0008346716,0.00204692016,0.00640290116
